A0JLT2,P35558
P07384,P68133
P07384,P12931
P07384,P05556
P07384,P27986
P07550,P63096
P07585,P01137
P07900,P01133
P07900,P00533
P07900,P10275
P07900,Q13464
P07900,Q16665
P07900,P31749
P07942,P63000
P07942,P60953
P07947,P06241
P07948,P41240
P07948,P05129
P07948,P42336
P07948,P12318
P07948,P42262
P07948,P01100
P07948,P12314
P07948,P05412
P07948,P43405
P07948,Q14289
P07948,Q08881
P07948,P17252
P07948,Q9UN19
P07948,P27986
P07948,P42261
P07948,P42263
P07948,Q06187
P07949,P01112
P07996,P08253
P07996,P14780
P08047,P25963
P08047,Q08426
P08047,P07339
P08047,P02647
P08047,P02708
P08047,P50416
P08047,O95749
P08047,Q15067
P08047,P49327
P08047,P11229
P08047,O14746
P08047,P17612
P08047,P35228
P08047,O00763
P08047,Q9UBM7
P08047,P00403
P08047,P46939
P08047,P02652
P08047,P48163
P08047,P12931
P08047,Q13907
P08047,P38936
P08047,P01375
P08047,P01106
P08100,P11488
P08123,P05556
P08138,O00459
P08138,P42336
P08138,Q16620
P08138,P42338
P08138,P63000
P08138,P01138
P08138,O00329
P08138,P60953
P08138,P01112
P08138,P27986
P08138,P04629
P08151,P24385
P08151,P17612
P08151,P10415
P08238,P10275
P08238,P31749
P08253,P12931
P08311,P50453
P08476,Q04771
P08476,P36896
P08514,P04004
P08514,P42336
P08514,P51692
P08514,P62330
P08514,P06239
P08514,P06241
P08514,P12931
P08514,Q14289
P08514,P10415
P08514,P27986
P08571,Q9Y6Y9
P08571,O00206
P08572,P00748
P08575,P01730
P08575,P06239
P08575,P06241
P08575,P07948
P08575,P08631
P08581,P23458
P08581,P12931
P08588,P63096
P08603,P01024
P08603,P00751
P08620,P09038
P08620,P11362
P08620,P01112
P08620,P05230
P08631,P12318
P08631,P12314
P08631,Q14289
P08631,Q08881
P08631,P01112
P08637,P42336
P08637,P43405
P08637,P27986
P08637,P07948
P08637,P08631
P08648,P12931
P08697,P04070
P08700,P42336
P08700,P51692
P08700,P26951
P08700,P32927
P08700,P27986
P08709,P00742
P08754,P01730
P08754,P28482
P08754,P41143
P08754,O75899
P08754,P27361
P08754,P51681
P08754,P07550
P08754,Q9H244
P08754,P30559
P08754,P06239
P08754,P13945
P08754,P30874
P08754,P48736
P08754,P14416
P08754,P08588
P08754,P21554
P08754,Q9UBS5
P08754,P24530
P08754,P61073
P08754,P01112
P08887,P28482
P08887,P27361
P08887,P23458
P08887,P12931
P08913,P59768
P08913,P63096
P09038,P08620
P09038,P11362
P09038,P01112
P09038,P05230
P09341,P19838
P09341,P05412
P09429,P19838
P09429,Q00653
P09429,P01574
P09455,P31749
P09471,P01730
P09471,O75899
P09471,P51681
P09471,P30559
P09471,P06239
P09471,Q08462
P09471,P14416
P09471,P21554
P09471,Q9UBS5
P09471,P24530
P09529,Q04771
P09529,P36896
